total_len,avg_time,std_time,avg_mem,std_mem
100,100,0.0037515399074181913,0.0010220056341254877,0.002765625,0.02872217594691427
200,100,0.0069475129417842256,0.0018081887858161655,0.0038671875,0.04060018922506649
300,100,0.010742278943536803,0.0027946166376895698,0.000515625,0.016305494185243206
400,100,0.015196310165920294,0.004817166007669012,0.0018046875,0.03733564036346429
500,100,0.01877583085675724,0.0040046954801761245,0.0,0.0
600,100,0.022927189101232214,0.004857810086310647,0.00103125,0.019953405041439613
700,100,0.02833532769361045,0.006666475843572649,0.00103125,0.016280993053167773
800,100,0.0334840754205361,0.0074430116061942365,0.0,0.0
900,100,0.038541152916383,0.008197931491889259,0.000515625,0.011523953430769736
1000,100,0.04241083396121394,0.007721449447233854,0.0008671875,0.04153020761295136
