total_len,avg_time,std_time,avg_mem,std_mem
500,100,0.018549122064141558,0.0038265318729869204,0.07953125,0.33552777750991786
1000,100,0.039495493287686256,0.006264321875362906,0.0308984375,0.1982388841576175
1500,100,0.06149463148321956,0.0067849922003187626,0.029921875,0.3387675073487341
2000,100,0.08356795487808995,0.0026665114487769677,0.0330078125,0.4587532830826283
2500,100,0.10879959378624335,0.007394388040651807,0.030859375,0.3655115770528683
3000,100,0.13404061414417812,0.008051518464151992,0.0215234375,0.46741395212715947
3500,100,0.15991434702649712,0.015653895095670785,0.0416015625,0.4664530260936312
4000,100,0.18527111075352878,0.016716460557915067,0.0303515625,0.5933921450235976
4500,100,0.21344645496923476,0.013435897052354002,0.0036328125,0.8903813460832978
5000,100,0.2440261451061815,0.01792581121311243,0.03546875,0.8078674098598532
